Company Name,Website,Phone,Address,Rating
Al Shahaniya Falcons Clinic عيادة صقور الشحانية,https://www.instagram.com/alshahaniya_falcons/,+974 5098 4444,"Ash-Shahaniyah, Qatar",5
Labour City Clinic,N/A,+974 4496 9000,"Doha, Qatar",3.5
Verdi Clinic Medical Center Al messila branch,N/A,+974 4444 8811,"Doha, Qatar",5
Clinics in Madinat Khalifa North,http://tabeebak.qa/clinics-list/0/madinat-khalifa-north/0,+974 7055 0099,"Al Waab St, Doha, Qatar",N/A
WELLKINS Medical Centre,https://wellkins.com/,+974 4444 2099,"Building no, The WELLKINS Building, Opp. Westin Hotel, Ramada Zone 24 Street 340, 41 Al betteel St, Doha, Qatar",4.8
Reyada Medical centre,http://reyadamedicalcentre.com/,+974 4445 7777,"الطريق الدائري الثالث, C Ring Road, Doha, Qatar",4.7
The International Medical Centre,http://www.theimcentre.com/,+974 4488 4292,"14 Sahat Street, Doha, Qatar, Po Box 19941, Qatar",4.4
Eden Health Center,https://edenhealth.qa/?utm_source=google&utm_medium=organic&utm_campaign=gmb,+974 4044 1999,"Building 52 Street 820, Doha, Qatar",4.9
KIMSHEALTH MEDICAL CENTRE Barwa City,https://www.kimshealth.qa/barwacity/?utm_source=organic&utm_medium=gbp&utm_campaign=gbp-link,+974 4419 4333,"1129 MESAIMEER CITY, Qatar",4.9
West Bay Medicare,https://www.westbaymedicare.com/,+974 4020 6336,"The Gate Mall, Tower 3, 3rd Floor, Omar Al Mukhtar St, Doha, Qatar",3.7
Premium Naseem Medical Centre,https://premiumnaseem.com/,+974 4147 3033,"Opposite Al Arqam Academy, Haloul, Doha, Qatar",4.8
DOC Medical Center - Lusail,https://docmedc.com/,+974 4475 3333,"Marina Tower, 50 1st Floor, Lusail, Qatar",4.1
City Medical Park,N/A,+974 6699 7071,"Al Thumama 46, Street 924, Bldg 2 &4, Doha, Qatar",4.2
Al Sultan Premier Medical Center,http://www.sultanpremier.com/,+974 3000 5925,"Building No: 7, Street 445, Doha, Qatar",4.9
